216.981 7.55408e-16
225.472 7.05348e-16
230.323 6.40788e-16
233.962 5.74208e-16
242.453 6.67699e-16
246.092 7.98002e-16
253.369 8.90531e-16
258.221 1.03552e-15
261.860 8.42998e-16
264.286 6.23452e-16
267.925 4.54803e-16
271.563 3.60229e-16
277.628 3.45710e-16
287.332 4.13175e-16
299.461 5.82136e-16
310.377 6.86265e-16
320.081 7.98002e-16
333.423 7.87133e-16
340.701 7.24961e-16
347.978 6.32060e-16
356.469 5.28854e-16
357.682 4.01997e-16
361.321 3.05570e-16
367.385 2.48758e-16
372.237 3.01408e-16
379.515 2.32273e-16
384.367 2.08139e-16
388.005 2.38732e-16
391.644 2.89260e-16
395.283 2.85320e-16
395.283 2.62784e-16
401.348 2.25989e-16
402.561 1.71781e-16
406.199 1.32379e-16
406.199 1.10763e-16
407.412 8.65355e-17
408.625 6.76073e-17
409.838 5.73490e-17
