1.784 1.47E+09
1.797 8.78E+08
1.810 5.25E+08
1.823 3.14E+08
1.837 1.88E+08
1.851 1.12E+08
1.864 6.71E+07
1.879 4.01E+07
1.893 2.40E+07
1.907 1.43E+07
1.922 8.57E+06
1.937 5.13E+06
1.953 3.06E+06
1.968 1.83E+06
1.984 1.10E+06
2.000 6.55E+05
2.016 3.92E+05
2.033 2.34E+05
2.049 1.40E+05
2.066 8.37E+04
2.084 5.01E+04
2.101 2.99E+04
2.119 1.79E+04
2.138 1.07E+04
2.156 6.40E+03
2.175 3.83E+03
2.194 2.29E+03
2.214 1.37E+03
2.234 8.18E+02
2.254 4.89E+02
2.275 2.92E+02
2.296 1.75E+02
2.317 1.05E+02
2.339 6.25E+01
2.362 3.74E+01
2.384 2.23E+01
2.407 1.34E+01
2.431 7.99E+00
2.455 4.78E+00
2.480 2.86E+00
2.505 1.71E+00
2.530 1.02E+00
2.556 6.10E-01
2.583 3.65E-01
2.610 2.30E-01
2.638 1.69E-01
2.666 9.56E-02
2.695 4.92E-02
2.725 2.68E-02
2.755 1.60E-02
2.786 1.15E-02
2.818 8.95E-03
2.850 7.42E-03
2.883 6.30E-03
2.917 5.57E-03
2.952 5.03E-03
2.988 4.67E-03
3.024 4.47E-03
3.061 4.38E-03
3.100 4.36E-03
3.139 4.41E-03
3.179 4.61E-03
3.220 4.85E-03
3.263 5.13E-03
3.306 5.06E-03
3.351 3.78E-03
3.397 2.43E-03
3.444 1.76E-03
3.493 1.54E-03
3.542 1.42E-03
3.594 1.31E-03
3.647 1.24E-03
3.701 1.24E-03
3.757 1.27E-03
3.815 1.33E-03
3.875 1.44E-03
3.936 1.60E-03
3.999 1.79E-03
4.065 2.04E-03
4.133 2.39E-03
4.203 2.91E-03
4.275 3.56E-03
4.350 4.21E-03
4.428 4.73E-03
4.509 4.90E-03
4.592 4.64E-03
4.679 4.05E-03
4.769 3.30E-03
4.862 2.96E-03
4.959 2.85E-03
5.061 2.95E-03
5.166 3.07E-03
5.276 3.20E-03
5.391 3.34E-03
5.510 3.50E-03
5.636 3.67E-03
5.767 3.85E-03
5.904 4.06E-03
6.048 4.29E-03
6.199 4.55E-03
